Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_frequently,BusinessTravel_Travel_rarely,Department_Research & development,EducationField_Life sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical degree,Gender_Male,JobRole_Human resources,JobRole_Laboratory technician,JobRole_Manager,JobRole_Manufacturing director,JobRole_Research director,JobRole_Research scientist,JobRole_Sales representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
41.0,1102,1.0,2,1,1,2,94,3,2,4,5993.0,19479,8,11,3,1,80,0,8,0,1,6.0,4.0,0.0,5,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
49.0,279,8.0,1,1,2,3,61,2,2,2,5130.0,24907,1,23,4,4,80,1,10,3,3,10.0,7.0,1.0,7,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
37.0,1373,2.0,2,1,4,4,92,2,1,3,2090.0,2396,6,15,3,2,80,0,7,3,3,0.0,0.0,0.0,0,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True
33.0,1392,3.0,4,1,5,4,56,3,1,3,2909.0,23159,1,11,3,3,80,0,8,3,3,8.0,7.0,3.0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
27.0,591,2.0,1,1,7,1,40,3,1,2,3468.0,16632,9,12,3,4,80,1,6,3,3,2.0,2.0,2.0,2,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
32.0,1005,2.0,2,1,8,4,79,3,1,4,3068.0,11864,0,13,3,3,80,0,8,2,2,7.0,7.0,3.0,6,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
59.0,1324,3.0,3,1,10,3,81,4,1,1,2670.0,9964,4,20,4,1,80,3,12,3,2,1.0,0.0,0.0,0,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
30.0,1358,24.0,1,1,11,4,67,3,1,3,2693.0,13335,1,22,4,2,80,1,1,2,3,1.0,0.0,0.0,0,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
38.0,216,23.0,3,1,12,4,44,2,3,3,9526.0,8787,0,21,4,2,80,0,10,2,3,9.0,7.0,1.0,8,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
36.0,1299,27.0,3,1,13,3,94,3,2,3,5237.0,16577,6,13,3,2,80,2,17,3,2,7.0,7.0,7.0,7,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
35.0,809,16.0,3,1,14,1,84,4,1,2,2426.0,16479,0,13,3,3,80,1,6,5,3,5.0,4.0,0.0,3,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
29.0,153,15.0,2,1,15,4,49,2,2,3,4193.0,12682,0,12,3,4,80,0,10,3,3,9.0,5.0,0.0,8,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
31.0,670,26.0,1,1,16,1,31,3,1,3,2911.0,15170,1,17,3,4,80,1,5,1,2,5.0,2.0,4.0,3,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
34.0,1346,19.0,2,1,18,2,93,3,1,4,2661.0,8758,0,11,3,3,80,1,3,2,3,2.0,2.0,1.0,2,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
28.0,103,24.0,3,1,19,3,50,2,1,3,2028.0,12947,5,14,3,2,80,0,6,4,3,4.0,2.0,0.0,3,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True
29.0,1389,21.0,4,1,20,2,51,4,3,1,9980.0,10195,1,11,3,3,80,1,10,1,3,10.0,9.0,7.5,8,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32.0,334,5.0,2,1,21,1,80,4,1,2,3298.0,15053,0,12,3,4,80,2,7,5,2,6.0,2.0,0.0,5,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
